snapshot_utc,snapshot_park_datetime,snapshot_park_date,snapshot_timezone,park_id,park_name,land,ride_id,ride_name,is_open,wait_time_minutes,source_last_updated_utc,source_last_updated_park_datetime,source_url,normalized_ride_name,base_ride_name,is_single_rider,is_likely_entertainment,source_age_minutes,observed_wait_time_minutes,quality_flags,training_eligibility
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Fantasyland,687,Sleeping Beauty Castle Walkthrough,FALSE,0,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,sleeping beauty castle walkthrough,Sleeping Beauty Castle Walkthrough,FALSE,FALSE,3.7,,closed|possible_full_day_closed,status_model_only
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Fantasyland,283,Snow White's Enchanted Wish,TRUE,10,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,snow white's enchanted wish,Snow White's Enchanted Wish,FALSE,FALSE,3.7,10,temporary_downtime,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Fantasyland,305,Storybook Land Canal Boats,TRUE,10,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,storybook land canal boats,Storybook Land Canal Boats,FALSE,FALSE,3.7,10,temporary_downtime,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Frontierland,323,Big Thunder Mountain Railroad,TRUE,30,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,big thunder mountain railroad,Big Thunder Mountain Railroad,FALSE,FALSE,3.7,30,temporary_downtime,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Frontierland,679,Frontierland Shootin' Exposition,FALSE,0,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,frontierland shootin' exposition,Frontierland Shootin' Exposition,FALSE,FALSE,3.7,,closed|possible_full_day_closed,status_model_only
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Frontierland,456,Mark Twain Riverboat,TRUE,10,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,mark twain riverboat,Mark Twain Riverboat,FALSE,FALSE,3.7,10,possible_full_day_closed,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Frontierland,331,Pirate's Lair on Tom Sawyer Island,TRUE,5,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,pirate's lair on tom sawyer island,Pirate's Lair on Tom Sawyer Island,FALSE,FALSE,3.7,5,possible_full_day_closed,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Frontierland,328,Sailing Ship Columbia,FALSE,0,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,sailing ship columbia,Sailing Ship Columbia,FALSE,FALSE,3.7,,closed|possible_full_day_closed,status_model_only
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Main Street U.S.A,674,Disneyland Railroad,TRUE,10,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,disneyland railroad,Disneyland Railroad,FALSE,FALSE,3.7,10,,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Main Street U.S.A,690,Great Moments with Mr. Lincoln,FALSE,0,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,great moments with mr lincoln,Great Moments with Mr. Lincoln,FALSE,FALSE,3.7,,closed|possible_full_day_closed,status_model_only
